Month of Observation,Median Home Price (NSA)
1999-06-15,127887.63
1999-07-15,128550.8
1999-08-15,129213.98
1999-09-15,129310.09
1999-10-15,129790.66
1999-11-15,130011.72
1999-12-15,130280.83
2000-01-15,131549.51999999999
2000-02-15,131318.85000000001
2000-03-15,132827.82000000001
2000-04-15,134096.51000000001
2000-05-15,135153.75
2000-06-15,136537.76999999999
2000-07-15,137229.78
2000-08-15,137623.85000000001
2000-09-15,138200.51999999999
2000-10-15,138652.25
2000-11-15,139084.76000000001
2000-12-15,139507.66
2001-01-15,140103.56
2001-02-15,141026.23999999999
2001-03-15,142285.32000000001
2001-04-15,143515.56
2001-05-15,144707.35999999999
2001-06-15,145908.76999999999
2001-07-15,146725.72
2001-08-15,147283.17999999999
2001-09-15,147782.95999999999
2001-10-15,148350.03
2001-11-15,148321.20000000001
2001-12-15,148830.59
2002-01-15,149301.54999999999
2002-02-15,150147.34
2002-03-15,151646.70000000001
2002-04-15,152905.76999999999
2002-05-15,154568.51999999999
2002-06-15,156077.48999999999
2002-07-15,157115.51000000001
2002-08-15,157980.53
2002-09-15,158662.92999999999
2002-10-15,159364.54999999999
2002-11-15,159739.39000000001
2002-12-15,160383.35000000001
2003-01-15,160892.73999999999
2003-02-15,161930.76000000001
2003-03-15,163045.67000000001
2003-04-15,164593.07999999999
2003-05-15,166207.78
2003-06-15,167562.97
2003-07-15,168850.88
2003-08-15,169956.17999999999
2003-09-15,171003.79999999999
2003-10-15,171532.42000000001
2003-11-15,172272.48999999999
2003-12-15,173079.84
2004-01-15,173598.85000000001
2004-02-15,175069.37
2004-03-15,177001.23999999999
2004-04-15,179106.10999999999
2004-05-15,181662.70999999999
2004-06-15,184142.42000000001
2004-07-15,185641.78
2004-08-15,186872.01999999999
2004-09-15,187919.64999999999
2004-10-15,188755.82999999999
2004-11-15,189793.85000000001
2004-12-15,190706.92000000001
2005-01-15,191341.26000000001
2005-02-15,193032.85000000001
2005-03-15,195704.78
2005-04-15,198261.38
2005-05-15,200894.87
2005-06-15,203307.29999999999
2005-07-15,205316.06
2005-08-15,206690.47
2005-09-15,207987.98999999999
2005-10-15,208545.44
2005-11-15,209054.84
2005-12-15,209420.07000000001
2006-01-15,209919.85999999999
2006-02-15,210794.48000000001
2006-03-15,212457.23000000001
2006-04-15,213802.81
2006-05-15,215513.62
2006-06-15,216272.91
2006-07-15,216023.01999999999
2006-08-15,216465.14000000001
2006-09-15,215705.84
2006-10-15,215302.17000000001
2006-11-15,215023.44
2006-12-15,214081.54000000001
2007-01-15,213937.37
2007-02-15,214619.76999999999
2007-03-15,216272.91
2007-04-15,217407.04000000001
2007-05-15,217666.54000000001
2007-06-15,217628.10000000001
2007-07-15,216417.07999999999
2007-08-15,215254.10999999999
2007-09-15,213591.35999999999
2007-10-15,211226.98999999999
2007-11-15,208862.62
2007-12-15,206661.64000000001
2008-01-15,204047.37
2008-02-15,203326.51999999999
2008-03-15,202259.67000000001
2008-04-15,201231.26000000001
2008-05-15,200395.07999999999
2008-06-15,199924.13
2008-07-15,197973.04000000001
2008-08-15,195647.10999999999
2008-09-15,193071.29000000001
2008-10-15,190985.64999999999
2008-11-15,186823.95999999999
2008-12-15,185074.70999999999
2009-01-15,185699.44
2009-02-15,186372.23000000001
2009-03-15,184834.42999999999
2009-04-15,184968.98999999999
2009-05-15,186333.79000000001
2009-06-15,187150.75
2009-07-15,186439.51000000001
2009-08-15,185814.78
2009-09-15,184747.92999999999
2009-10-15,184632.59
2009-11-15,184449.98000000001
2009-12-15,181374.37
2010-01-15,180413.23999999999
2010-02-15,179990.35000000001
2010-03-15,180499.73999999999
2010-04-15,182220.16
2010-05-15,183825.25
2010-06-15,182873.73000000001
2010-07-15,181710.76999999999
2010-08-15,180961.09
2010-09-15,178433.32000000001
2010-10-15,178144.98000000001
2010-11-15,176933.95999999999
2010-12-15,174175.53
2011-01-15,172109.10000000001
2011-02-15,170782.75
2011-03-15,169783.17000000001
